CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,KP,87,1,1
2,IPC,384,1,1
3,IPC,366,1,1
4,IPC,302,1,1
5,IPC,420,1,1
6,IPC,304B,1,1
7,IPC,384,1,1
8,IPC,363,1,1
8,IPC,365,2,2
9,IPC,457,1,1
9,IPC,380,2,2
10,IPC,363,1,1
10,IPC,365,2,2
11,IPC,354,1,1
12,IPC,395,1,1
13,IPC,307,1,1
14,IPC,468,1,1
15,KP,87,1,1
16,KP,87,1,1
17,IPC,325,1,1
18,IPC,406,1,1
19,IPC,304,1,1
20,IPC,379,1,1
20,IPC,381,2,2
21,KE,32,1,1
22,IPC,498A,1,1
23,IPC,468,1,1
24,IPC,323,1,1
25,IPC,420,1,1
26,IPC,354,1,1
27,IPC,363,1,1
27,IPC,365,2,2
28,IPC,392,1,1
29,IPC,489A,1,1
30,IPC,447,1,1
31,IPC,379,1,1
31,IPC,381,2,2
32,IPC,307,1,1
33,IPC,307,1,1
34,IPC,325,1,1
35,IPC,363,1,1
35,IPC,365,2,2
36,IPC,384,1,1
37,IPC,302,1,1
38,IPC,395,1,1
39,IPC,498A,1,1
40,IPC,406,1,1
41,IPC,384,1,1
42,IPC,325,1,1
43,IPC,420,1,1
44,IPC,325,1,1
45,IPC,307,1,1
46,KE,32,1,1
47,IPC,392,1,1
48,IPC,379,1,1
49,IPC,302,1,1
50,IPC,379,1,1
51,IPC,363,1,1
51,IPC,365,2,2
52,IPC,406,1,1
53,IPC,384,1,1
54,IPC,468,1,1
55,KE,32,1,1
56,IPC,307,1,1
57,IPC,302,1,1
58,KP,87,1,1
59,IPC,457,1,1
59,IPC,380,2,2
60,IPC,323,1,1
61,NDPS,20,1,1
62,IPC,363,1,1
62,IPC,365,2,2
63,IPC,304,1,1
64,IPC,384,1,1
65,IPC,498A,1,1
66,IPC,447,1,1
67,IPC,489A,1,1
68,IPC,323,1,1
69,IPC,307,1,1
70,IPC,420,1,1
71,IPC,384,1,1
72,IPC,325,1,1
73,IPC,379,1,1
74,IPC,325,1,1
75,IPC,406,1,1
76,IPC,379,1,1
77,IPC,304B,1,1
78,IPC,489A,1,1
79,IPC,307,1,1
80,ARMS,25,1,1
81,IPC,406,1,1
82,IPC,447,1,1
83,IPC,325,1,1
84,IPC,489A,1,1
85,IPC,325,1,1
86,IPC,420,1,1
87,IPC,457,1,1
87,IPC,380,2,2
88,KP,87,1,1
89,IPC,307,1,1
90,IPC,420,1,1
91,IPC,384,1,1
92,IPC,307,1,1
93,IPC,489A,1,1
94,IPC,304,1,1
95,IPC,323,1,1
96,IPC,363,1,1
96,IPC,365,2,2
97,IPC,379,1,1
98,IPC,304,1,1
99,IPC,354,1,1
100,IPC,406,1,1
101,IPC,366,1,1
102,IPC,379,1,1
103,KP,87,1,1
104,KE,32,1,1
105,IPC,489A,1,1
106,IPC,392,1,1
107,IPC,304B,1,1
108,IPC,325,1,1
109,KP,87,1,1
110,KP,87,1,1
111,IPC,354,1,1
112,IPC,304B,1,1
113,IPC,302,1,1
114,IPC,406,1,1
115,IPC,304,1,1
116,IPC,379,1,1
117,KP,87,1,1
118,NDPS,20,1,1
119,IPC,304,1,1
120,IPC,489A,1,1
121,ARMS,25,1,1
122,KP,87,1,1
123,IPC,498A,1,1
124,KP,87,1,1
125,IPC,392,1,1
126,IPC,379,1,1
126,IPC,381,2,2
127,IPC,392,1,1
128,IPC,395,1,1
129,IPC,384,1,1
130,IPC,447,1,1
131,IPC,379,1,1
131,IPC,381,2,2
132,IPC,489A,1,1
133,IPC,392,1,1
134,IPC,384,1,1
135,ARMS,25,1,1
136,NDPS,20,1,1
137,IPC,420,1,1
138,IPC,384,1,1
139,KP,87,1,1
140,IPC,379,1,1
140,IPC,381,2,2
141,IPC,307,1,1
142,IPC,395,1,1
143,IPC,392,1,1
144,IPC,325,1,1
145,IPC,392,1,1
146,IPC,498A,1,1
147,IPC,304B,1,1
148,IPC,307,1,1
149,NDPS,20,1,1
150,IPC,363,1,1
150,IPC,365,2,2
151,IPC,498A,1,1
152,IPC,302,1,1
153,IPC,307,1,1
