ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,2,2025-08-15,1,447,27,476,13,1,1,0
2,3,2,2026-02-19,1,448,33,807,16,3,1,0
3,6,1,2025-08-08,1,457,97,1013,43,6,1,0
4,7,1,2025-06-19,1,447,29,1040,14,7,1,0
5,8,2,2026-03-23,1,454,78,677,35,8,1,0
6,8,2,2026-03-02,1,454,78,296,35,9,1,0
7,9,2,2025-05-12,1,457,97,1024,43,11,1,0
8,10,1,2025-03-31,1,451,52,639,26,13,1,0
9,10,1,2025-06-22,1,451,52,1062,25,14,1,0
10,26,2,2026-05-04,1,451,51,1002,26,43,1,0
11,27,2,2025-07-17,1,446,25,691,11,44,1,0
12,28,2,2026-02-06,1,453,64,250,31,45,1,0
13,31,2,2026-05-31,1,453,65,664,32,50,1,0
14,31,1,2026-04-22,1,453,65,580,32,51,1,0
15,35,2,2025-03-23,1,448,33,156,17,59,1,0
16,35,2,2025-01-30,1,448,33,72,16,60,1,0
17,40,2,2025-11-01,1,443,3,1005,2,67,1,0
18,41,2,2025-04-20,1,444,12,601,5,68,1,0
19,48,2,2026-06-23,1,446,26,485,10,82,1,0
20,48,2,2026-08-02,1,446,26,451,10,83,1,0
21,50,2,2026-08-10,1,457,98,42,44,87,1,0
22,50,2,2026-08-21,1,457,98,184,44,88,1,0
23,50,2,2026-07-24,1,457,98,751,44,89,1,0
24,52,1,2025-11-11,1,455,84,100,38,91,1,0
25,52,1,2025-11-10,1,455,84,753,39,92,1,0
26,53,2,2025-11-06,1,447,32,770,14,93,1,0
27,64,2,2026-01-14,1,457,97,34,45,115,1,0
28,64,2,2026-03-01,1,457,97,105,45,116,1,0
29,64,1,2026-02-22,1,457,97,1094,45,117,1,0
30,65,1,2025-07-04,1,451,50,136,25,118,1,0
31,66,1,2026-08-01,1,445,16,344,7,119,1,0
32,67,2,2026-05-03,1,447,30,778,15,121,1,0
33,67,1,2026-06-07,1,447,30,1088,15,123,1,0
34,67,2,2026-06-18,1,447,30,615,15,124,1,0
35,67,2,2026-04-19,1,447,30,672,15,125,1,0
36,67,1,2026-04-27,1,447,30,1076,15,126,1,0
37,67,2,2026-04-28,1,447,30,233,15,127,1,0
38,69,1,2026-02-27,1,453,62,1081,33,130,1,0
39,69,2,2026-01-26,1,453,62,843,33,131,1,0
40,75,1,2025-02-22,1,448,33,402,17,141,1,0
41,80,1,2026-07-22,1,446,20,483,11,148,1,0
42,80,1,2026-07-08,1,446,20,659,11,149,1,0
43,83,1,2025-07-12,1,443,6,565,2,154,1,0
44,85,2,2025-11-19,1,447,28,541,14,156,1,0
45,87,2,2025-04-10,1,450,43,316,24,161,1,0
46,91,1,2025-09-26,1,445,16,890,9,167,1,0
47,91,2,2025-09-10,1,445,16,1174,8,168,1,0
