ActCode,SectionCode,SectionDescription,Active
IPC,457,Lurking house-trespass,1
IPC,379,Theft,1
KP,87,Gaming house,1
IPC,363,Kidnapping,1
KE,32,Illicit liquor,1
IPC,304,Culpable homicide,1
IPC,420,Cheating,1
IPC,323,Voluntarily causing hurt,1
IPC,325,Voluntarily causing grievous hurt,1
IPC,468,Forgery for cheating,1
IPC,406,Criminal breach of trust,1
IPC,392,Robbery,1
IPC,395,Dacoity,1
IPC,498A,Cruelty by husband/relatives,1
NDPS,20,Cannabis offences,1
ARMS,25,Possession of arms,1
IPC,381,Theft by clerk/servant,1
IPC,489A,Counterfeiting currency,1
IPC,366,Kidnapping to compel marriage,1
IPC,304B,Dowry death,1
IPC,447,Criminal trespass,1
IPC,354,Assault to outrage modesty,1
IPC,307,Attempt to murder,1
IPC,384,Extortion,1
IPC,302,Murder,1
IPC,380,Theft in dwelling,1
IPC,365,Wrongful confinement,1
